Nom,Viet
𢈱箕㐌罕𨢇尼賞朱,Lời kia đã hãn rượu này thưởng chọ
𧡊仙𦍛意侵卢冲𢚸,Thấy Tiên dường ấy xâm lo trong long
科尼仙乙𢧚功,Khoa này Tiên ắt nên công
歆油固杜拱空𢧚耒,Hâm dầu có đỗ cũng không nên rồị
𠇮群𢪀𭛣細𨆢,Mình còn nghĩ việc tới lui
𠫾䀡榜𨴦󰠯傕𠓨塲,Đi xem bảng cửa trống thôi vào trường.
几硯𠊛笈質塘,"Kẻ nghiên, người cặp chất đường"
潦滈屡罷𣳔𣳔屢𠀧,Lao xao lũ bảy ròng ròng lũ bạ
云仙𣃣𨀈蹎𦋦,Vân Tiên vừa bước chân ra
丿𱏧𠫾﨤信茄󰝂书,Phút đâu đi gặp tin nhà đem thư
󰡠封䀡幅𬌓书,Mở phong xem bức tấm thư
𨉓沙𠖈坦𠬠徐𠻨𠽐,Mình sa xuống đất một giờ ngẩn ngơ.
伴皮埃乃巴潙,Bạn bè ai nấy bơ vơ
哙𦋦買別母慈𧗱圭,Hỏi ra mới biết mẫu từ về quê
直浪𱙎渚𠶑𠲖,Trực rằng: anh chớ ủ ê
嗔𠓨冲舘定皮𱀠家,Xin vào trong quán định bề quy gia
小童咀問嘆𨱽,Tiểu đồng thở vắn than dài
𡗶牢女負仍才𠊚𣦍,Trời sao nỡ phụ những tài người ngay
直浪㐌細浽尼,Trực rằng: Đã tới nỗi này
小童𤽗唉爫𢗃渚繁,Tiểu đồng ngươi hãy làm khuây chớ phiền
󰉺卢𡨹役茦湯,Sớm lo giữ việc thuốc thang
除些𨅌𣇊𦋦塲𠱊咍,Chờ ta vài bữa ra trường sẽ hay
闭徐急逴署埋,Bây giờ kíp rước thợ may
懺龱成服内㝵朱衝,Sắm đồ thành phục nội ngày cho xong
嘆浪媄北昆南,Than rằng: mẹ Bắc con Nam
渃𱛩瀋匕㐌甘𥐧𱎹,Nước non thăm thẳm đã cam lỗi nghì
𥙩之㳻淡𥙩夷奔䘮,Lấy chi tách dặm lấy gì bôn tang
尋官麻吏﨤䘮,Tìm quan mà lại gặp tang
𠻨𠽐𠊛扵呂廊𠊛𠫾,"Ngẩn ngơ người ở, lỡ làng người đị"
𠬠𠇮𡗶坦禁之,Một mình trời đất cấm chi
𠄩行渃𬑉𣳔匕,Hai hàng nước mắt ròng ròng
想包饒吏𤴬𢚸闭饒,Tưởng bao nhiêu lại đau lòng bấy nhiêu
競󱏹包󰓞𩙌漂,Cánh buồm bao quản gió xiêu
舘浪𡗶坦清明,Quán rằng: Trời đất thanh minh
埃匕䀡𧡊庒傷,Ai ai xem thấy chẳng thương
呂皮報孝呂皮立身,"Lỡ bề báo hiếu, lỡ bề lập thân"
埃咍斫鬼謀神,Ai hay chước quỷ mưu thần
喓離埃窖達排,Éo le ai khéo đặt bày
𡦂才扵貝𡦂災𠬠韻,Chữ tài ở với chữ tai một vần.
塘𠫾𠬠𣎃庒𧵆,Đường đi một tháng chẳng gần
欺戈欺吏買路衝波,Khi qua khi lại mấy lần xông pha
直󰠃歆儉合麻迻仙,"Trực cùng Hâm, Kiệm hợp mà đưa Tiên."
歆浪𮎦庒㧅煩,Hâm rằng: Anh chẳng đeo phiền
科尼㐌呂些願科𡢐,Khoa này đã lỡ ta nguyền khoa saụ
𧡊饒折苦貝饒,Thấy nhau triết khổ với nhau
𠬠彙巾泊油匕呵傷,Một vừng khăn bạc dầu dầu khá thương
云仙拮挭𬨠塘,Vân Tiên cất gánh lên đường
郑歆卞𥄭𠄩行淚沙,Trịnh Hâm bèn ngó hai hàng lệ sa
𠫾𣃣𠬠淡賖匕,Đi vừa một dặm xa xa
𠫾𱏧翁舘奔波蹺󰠃,Đi đâu ông quán bôn ba theo cùng
舘浪傷等𮎦䧺,Quán rằng: Thương đấng anh hùng
迻𠀧𲋄茦底防𫉚身,Đưa ba phong thuốc để phòng hộ than
庒埋麻﨤𣅶芇,Chẳng may mà gặp lúc nào
當欺过対咹𠓨拱𩛂,Đương khi quá đói ăn vào cũng no
仙浪𠹾𥙩恩朱,Tiên rằng: Chịu lấy ơn cho
𬌓𢚸𪿒匕唉卢賖𧵆,Tấm lòng ngài ngại hãy lo xa gần
舘浪些拱󰘊傾,Quán rằng: Ta cũng bâng khuâng
𡽫𣛟渃碧盃𡆫,Non xanh nước biếc vui vầy
𠬠瓢枯酒𠬠潙金𬞕,"Một bầu khô tửu, một vời kim lan"
隐身蹺准安閒,Ẩn thân theo chốn an nhàn
云仙䀡𧡊卞𪟽冲𢚸,Vân Tiên xem thấy bèn nghi trong long
𬂙澄淡紫𣦎冬,Trông chừng dặm tử thẳng dong
𢪀隊干吏𠼦麻隊干,Nghĩ đòi cơn lại mặn mà đòi cơn
𢧚庒𡮇分之麻,Nên chăng chút phận chi mà
芒句不孝㐌仃,Mang câu bất hiếu đã đành
𢪀𠇮麻𢢆朱𠇮爫昆,Nghĩ mình mà thẹn cho mình làm con
嵬匕𠬠𬌓𢚸崙,Ngôi ngôi một tấm lòng son
仍啉呂浽渃𡽫朱耒,Những lăm trả nợ nước non cho rồi
芇咍渃沚花㵢,Nào hay nước chảy hoa trôi
恪芇𪀄鴈落排呌霜,Khác nào chim nhạn lạc bầy kêu sương
旦𫢩買別訴詳,Đến nay mới biết tỏ tường
䝨之柴𠰺科塲群賖,Hèn chi thày dạy khoa trường còn xa
小童𧡊丕踈戈,Tiểu đồng thấy vậy thưa qua
自低朱細圭茄群𥹰,Từ đây cho tới quê nhà còn lâu
𱐭尼庒弋胣愁,Thế này chẳng giấc dạ sầu
𠲖欺芒病姅澄,E khi mang bệnh nửa chừng
冲𡽫苦料𡨌棱苦筭,"Trong non khó liệu, giữa rừng khó toan."
仙浪枯㭳𦲿肝,Tiên rằng: Khô héo lá gan
𤻻瘼芇𧡊之𱏧,Mịt mù nào thấy chi đâu
蹎𠫾㐌痗𠇮𤴬如寅,"Chân đi đã mỏi, mình đau như dần"
固身吏苦貝身,Có thân lại khổ với thân
身喂身別𠇍吝庒埋,Thân ôi! Thân biết mấy lần chẳng maỵ
童浪𡗶坦固咍,Đồng rằng: Trời đất có hay
𦋦𠫾買邒𨑮㝵吏𤴬,Ra đi mới đặng mươi ngày lại đaụ
𠬠𠇮󰂌畧󰂌𡢐,Một mình cầu trước cầu sau
𣛟匕坡𱸝油匕枯核,"Xanh xanh bờ bụi, dàu dàu cỏ câỵ"
本空廊𥯎之低,Vốn không làng xóm chi đây
嗔吝細畧尋柴茦湯,Xin lần tới trước tìm thầy thuốc thang.
𣃣埋﨤客戈塘,Vừa may gặp khách qua đường
𢩮饒欺意哙𠽄,Dắt nhau khi ấy hỏi thăm
﨤柴爫茦𠸜浪趙昂,Gặp thầy làm thuốc tên rằng Triệu Ngang
昂浪唉暫𢪀安,Ngang rằng: Hãy tạm nghỉ an
﨤柴辰病乙苓,Gặp thầy thì bệnh ắt lành
泊鐄冲𫋻産爭包饒,Bạc vàng trong gói sẵn dàng bao nhiêủ
童浪钱泊庒饒,Đồng rằng: Tiền bạc chẳng nhiều
埋麻病𧘇邒安,May mà bệnh ấy đặng an
泊群𠄼𭃂𢭂郎朱柴,Bạc còn năm lượng trao sang cho thày
昂浪柴扵準尼,Ngang rằng: Thầy ở chốn này
𠀧𠁀𱹷業爫柴奇𠀧,Ba đời nối nghiệp làm thày cả ba
𠰌之拱𬦼冲茄,Mùi chi cũng đủ trong nhà
拱𱺵御製𣥱塘回生,Cùng là Ngự chế trải đường hồi sinh
味之産達君臣,Vị chi sẵn đặt quân thần
茦它炮製𨑮分𤑟𤉜,Thuốc đà bào chế mười phân rõ ràng
達𢬣𠓨病別塘死生,Đặt tay vào bệnh biết đường tử sinh.
童浪柴寔固才,Đồng rằng: Thầy thực có tài
嗔柴䀡脉朱排茦湯,Xin thầy xem mạch cho bài thuốc thang.
拠冲册畧麻通,Cứ trong sách lược mà thông
加𠓨朱倍热心買平,Gia vào cho bội nhiệt tâm mới bình
呵𢭂𠄩月泊𣳔,Há trao hai lượng bạc ròng
補添味茦低防投湯,Bổ thêm vị thuốc đề phòng đầu thang
庒戈爫福朱払,Chẳng qua làm phúc cho chàng
小童卞想固才,Tiểu đồng bèn tưởng có tài
倍鐄𲉇𫋻𥙩潙𭃂𢭂,"Vội vàng mở gói, lấy vài lượng traọ"
𨑮㝵庒叭𡮇芇,Mười ngày chẳng bớt chút nào
添𤴬冲胣如炮如𢬗,Thêm đau trong dạ như bào như soi
童浪𠓨妬柴𥋳,Đồng rằng: Vào đó thầy coi
病牢庒叭麻隊泊添,Bệnh sao chẳng bớt mà đòi bạc thêm.
昂浪𦣰𧡊欺店,Ngang rằng: Nằm thấy khi đêm
祖師覔保𠬠恬占包,Tổ sư mách bảo một điềm chiêm bao
鬼神𠊚扵𨑗高,Quỉ thần người ở trên cao
𠲖欺塘詫理芇別𱏧,E khi đường sá lẽ nào biết đâu
小童𤽗呵戈求,Tiểu đồng ngươi há qua cầu
小童𦖑呐𠫾連,Tiểu đồng nghe nói đi liền
﨤翁柴𧴤達钱䀡𥋳,Gặp ông thầy bói đặt tiền xem coị
𧴤浪渚邒牢灰,Bói rằng: Chớ đặng sao hoi
㨿牢𢧚浽達𥋳𱐭尼,Cớ sao nên nỗi đặt coi thế nàỵ
些低庒沛各柴,Ta đây chẳng phải các thày
𧴤爲𧴤曰呐之庒𠰃,"Bói vơ, bói vất, nói chi chẳng nhầm"
𦒹𨑮𦊚卦𠀧𤾓餘爻,"Sáu mươi bốn quẻ, ba trăm dư hào"
㐌通天地吏咍𭛣𠁀,"Đã thông thiên địa, lại hay việc đờị"
現钱貫𠬠𦊚𨑮,Hiện tiền quan mốt bốn mươi
𣛣蔞𱔩𨢇朱鮮𢚸誠,"Khơi trầu, chén rượu cho tươi lòng thành."
達𨑗𠳿貝神灵,Đặt trên vái với thần linh
哙𱜂𠸜戸𱺵之,Hỏi ra tên họ là gì?
朱柴達卦𠬠欺買詳,Cho thày đặt quẻ một khi mới tường.
童浪𠊚扵東方,Đồng rằng: Người ở Đông phương
𱜂𠫾奔拌𫡉塘庒安,Ra đi buôn bán giữa đường chẳng an.
固茄戸陸𱺵払,Có nhà họ Lục là chàng
歲𣃣𠄩糁群塘踈𬏝,"Tuổi vừa hai tám, còn đường thơ ngâỵ"
䝨之甲子㝵𣈙庒安,Hèn chi Giáp tí ngày rầy chẳng an
歲尼𱺵歲油廊𨑗𠁀,Tuổi này là tuổi giàu sang trên đời
固𱏧奔半賖𧵆,Có đâu buôn bán xa gần
牢𤽗窖劎忍𢈱嘹些,Sao ngươi khéo kiếm những lời trêu tạ
扲钱招𠖈䀡戈,Cầm tiền gieo xuống xem qua
㨿冲卦意麻盘,Cứ trong quẻ ấy mà bàn
吹𢧚芒病声灵,Xui nên mang bệnh thình lình
爲烝麻鬼路程叱千,Vì chưng ma quỉ lộ trình rất thiêng
悶朱病意邒安,Muốn cho bệnh ấy đặng an
童浪法扵󰠲低,Đồng rằng: Pháp ở đâu đây
扑浪拱扵准尼𨀈戈,Bói rằng: Cũng ở chốn này bước quạ
法咍㗂曳吨賖,Pháp hay tiếng dậy đồn xa
𠸜𱺵道士扵茶青村,Tên là Đạo sĩ ở Trà Thanh thôn
小童本庒別坤,Tiểu đồng vốn chẳng biết khôn
𠫾𦖑𢈱呐吏奔墫尋,Đi nghe lời nói lại bôn chôn tìm
士浪𥙩扵𱏧尋,Sĩ rằng lấy ở đâu tìm
咍𱺵㐌莫𥙩恬之低,Hay là đã mắc lấy điềm chi đây
童浪𦖑呐吨柴,Đồng rằng: Nghe nói đồn thầy
除邪掩鬼符柴叱咍,Trừ tà yểm quỷ bùa thày rất hay
吏添符注𠸗𫢩埃皮,Lại thêm bùa chú xưa nay ai bì
戈滝󰥶𧡊摄𡆫,Qua sông cá thấy xếp vây
𠓨棱𤜯𧡊調跪𥛉迻,Vào rừng cọp thấy đều quỳ lạy đưa
法咍爫𬰅爫湄,Pháp hay làm gió làm mưa
差𪀄遣猿𠲝𩢬物𬌥,"Sai chim, khiến vượn, đuổi lừa, vật trâu"
法咍念咒𠬠句,Pháp hay niệm chú một câu
固𠀧月泊𢭂郎,Có ba lượng bạc trao sang
邒柴韯所立𡊨渚專,Đặng thày sắm sửa lập đàn chữa chuyên
童浪碎㐌󰟭欧,Đồng rằng: Tôi đã sớm âu
空茄渚別𠓨󰠲悲除,Không nhà chưa biết vào đâu bây giờ
𫡉塘𠳝語逸徐,Giữa đường bỡ ngỡ dật dờ
泊仃𠄩月防除卢筭,Bạc dành hai lượng phòng chờ lo toan
專渚病意邒安,Chuyên chữa bệnh ấy đặng an
耒辰碎仕𢭂郎朱柴,Rồi thì tôi sẽ trao sang cho thầy
士浪𧗱𥙩泊低,Sĩ rằng: Về lấy bạc đây
待朱筭料󰉺排𡊨𱜂,Được cho toan liệu sớm bày đàn ra
童浪碎㐌卢賖,Đồng rằng: Tôi đã lo xa
卢爲𠊚病扵茄空安,Lo vì người bệnh ở nhà không yên
泊𫢩碎沛迻郎,Bạc này tôi phải đưa sang
吀柴論法卢筭𱐭芇,Xin thầy luận phép lo toan thế nào
士浪固苦之牢,Sĩ rằng: Có khó chi sao
𤽗𦣰些渚符𢭂𧗱耒,Ngươi nằm ta chữa rồi phù trao về
𤴬之細浽筭皮渚專,Đau chi tới nỗi toan bề chữa chuyên
士浪些沛用權,Sĩ rằng: Ta phải dùng quyền
小童𦖑律𠓨𦖻,Tiểu đồng nghe lọt vào tai
𢚸𢜠倍𡲤𦣰𨱽吁專,Lòng mừng vội vã nằm dài vo chuyên
士浪谷匕呼連,Sĩ rằng: cốc cốc hô lên
共妑武后調連細低,Cùng bà Vũ Hậu đều liền tới đây
𨑮翁元帥征西,Mời ông nguyên soái chinh tây
共妑漂母森𡆫𠬠欺,Cùng bà Phiêu mẫu sum vầy một khi
𨑮翁佛祖它弥,Mời ông Phật tổ đà di
共妑故喜調𡆫𠄩房,Cùng bà Cố hỉ đều vây hai phòng
𨑮妑公主五竜,Mời bà công chúa Ngũ long
平蛮五虎会同安营,Bình Man ngũ hổ hội đồng an doanh
吏𨑮千將千兵,Lại mời thiên tướng thiên binh
𨑮位三府洞廷赤鱗,Mời vị Tam phủ Động đình xích lân
𨒒它泣歇鬼神,Mời đà khắp hết quỉ thần
󰝡饒𪧍准下塵𠫾制,Đem nhau xuống chốn hạ trần đi chơi
朱𤽗𠀧道符𡗶,Cho ngươi ba đạo bùa trời
㕵𠓨跬孟如𢈱庒差,"Uống vào khoẻ mạnh như lời chẳng sai,"
小童𨻫仍𧼋𢙇,Tiểu đồng luống những chạy hoài
領符阻吏筭排茦湯,Lĩnh bùa trở lại toan bài thuốc thang
𠓨茄疎貝趙昂,Vào nhà thưa với Triệu Ngang
法符㐌𨇜柴筭理芇,Phép bùa đã đủ thày toan lẽ nàỏ
昂浪冲𫋻群包,Ngang rằng trong gói còn baỏ
𤽗𠓨𲉇𫋻麻𢭂朱柴,Ngươi vào mở gói mà trao cho thày
童浪碎决𢈱尼,Đồng rằng: Tôi quyết lời này
病箕油呵𠇮尼半𠫾,Bệnh kia dầu khá mình này bán đi
趙昂別庒群之,Triệu Ngang biết chẳng còn chi
劎𢈱到啅吹𠫾塊忘,Kiếm lời tráo trác xua đi khỏi vòng
扵低廊渃苦𢚸,Ở đây làng nước khó long
𠲖欺湄𪱆埃紅拖𩂏,E khi mưa nắng ai hòng đỡ che
童浪冲𫋻咏潙,Đồng rằng: Trong gói vắng vơi
罷信𢧚莫罷𦖑𢧚啉,"Bởi tin nên mắc, bởi nghe nên lầm"
買卢併歇𠬠𤾓,Mới lo tính hết một trăm
𠇮蟡枯蝎𦛌蚕㭳敦,"Mình ve khô xác, ruột tằm héo don"
傷台钱𠅍疾芒,Thương thay tiền mất tật mang
巴爲坦客鄕村𱐭尼,Bơ vơ đất khách hương thôn thế này
傕匕直強塊低,Thôi thôi trực gượng khỏi đây
云仙之掣浽愁,Vân Tiên chi xiết nỗi sầu
小童𢴿𢩮𫢩橋埋滝,Tiểu đồng chèo dắt nay cầu mai sông
當欺湄𩙌竜冬,Đương khi mưa gió long đong
𠊚盆吏﨤景盆添傷,Người buồn lại gặp cảnh buồn thêm thương
掣包咹雪𦣰霜,Xiết bao ăn tuyết nằm sương
幔𡗶詔坦塘長劳刀,Màn trời chiếu đất đường trường lao đao
油朱才智叱高,Dẫu cho tài trí rất cao
﨤干危𣷷別牢邒常,Gặp cơn nguy biến biết sao đặng thường
嘵嗷𦍛客他鄕,Nghêu ngao dường khách tha hương
埃匕訴別空傷包徐,Ai ai tỏ biết không thương bao giờ
仙浪𠫾㐌吃𠽐,Tiên rằng: Đi đã ngất ngơ
尋尼溪𣷮培坡𢪀蹎,Tìm nơi khe suối bụi bờ nghỉ chân
童浪𡮇汝塊棱,Đồng rằng: Chút nữa khỏi rừng
尋尼舘舍仕仃𢪀蹎,Tìm nơi quán xá sẽ dừng nghỉ ngơi
𡽫西𣃣格𩈘𡗶,Non Tây vừa cách mặt trời
伵柴󰲲𢩮細尼大堤,Tớ thày dìu dắt tới nơi Đại đề
徒詩𠬠屡𦋦𧗱,Trò thi một lũ ra về
郑歆䀡𧡊吏掑哙深,Trịnh Hâm xem thấy lại kề hỏi thăm
𮎦𧗱𫢩㐌𠄩𢆥,Anh về nay đã hai năm
故牢莫病群𦣰扵底,Cớ sao mắc bệnh còn nằm ở đây
仙浪碎㐌庒埋,Tiên rằng: Tôi đã chẳng may
庒台眾伴科尼𱐭芇,Chẳng hay chúng bạn khoa này thế nàỏ
歆浪子直杜高,Hâm rằng: Tử Trực đỗ cao
碎󰠃裴儉調𠓨󰦄人,Tôi cùng Bùi Kiệm đều vào cử nhân
𠬠碎𧗱畧省親,Một tôi về trước tỉnh thân
直󰠃裴儉群吝𠫾𥹰,Trực cùng Bùi Kiệm còn lần đi lâu
当欺患难﨤饒,Đương khi hoạn nạn gặp nhau
𠊚苓𦬑補𠊚𤴬牢仃,Người lành nỡ bỏ người đau sao đành
自低𧗱旦東城,Từ đây về đến Đông thành
𠬠𠇮病重步行牢衝,Một mình bệnh trọng bộ hành sao xong
尋船些仕論盘󰠃饒,Tìm thuyền ta sẽ luận bàn cùng nhau
仙浪情畧𱻊𡢐,Tiên rằng: Tình trước nghĩa sau
﨤饒𧯶易補饒畨尼,Gặp nhau há dễ bỏ nhau phen này
歆浪𮎦暫𡎢底,Hâm rằng: Anh tạm ngồi đây
小童細畧尼󰠃貝些,Tiểu đồng tới trước nơi cùng với ta
𠓨棱𥙩茦外科,Vào rừng lấy thuốc ngoại khoa
防欺滝𣷷風波不期,Phòng khi sông biển phong ba bất kỳ
小童倍𡲤𦋦𠫾,Tiểu đồng vội vã ra đi
悶朱𢧚役詫夷劳刀,Muốn cho nên việc xá gì lao đao
扒𤽗童子𫃚𠓨冲核,Bắt người đồng tử buộc vào trong cây
畧朱𤜯𤞻咹眉,Trước cho cọp hùm ăn mày
害仙𡢐用謀尼買衝,Hại Tiên sau dụng mưu này mới xong
云仙仍[?]待𬂙,Vân Tiên những [?] đợi trông
郑歆𧗱呐小童扱咹,Trịnh Hâm về nói tiểu đồng cọp ăn
云仙嘆哭我凌,Vân Tiên than khóc ngã lăn
𠬠柴𠬠伵路程餒饒,Một thày một tớ lộ trình nuôi nhau
𫢩它𠄩我格饒,Này đà hai ngã cách nhau
群埃㨢畧拖𡢐朱𨉓,"Còn ai nâng trước, đỡ sau cho mình"
歆浪𮎦渚𪿒情,Hâm rằng: Anh chớ ngại tình
碎嗔迻細東城辰傕,Tôi xin đưa tới Đông thành thì thôi
云仙之掣󰒜洡,Vân Tiên chi xiết lệ rơi
󱏹它蹺𩙌𧼋吹𠬠皮,Buồm đà theo gió chạy xuôi một bề
小童被𫃫坤𧗱,Tiểu đồng bị trói khôn về
哭𱺵仍𧡊𦊚皮棱荒,Khóc la những thấu bốn bề rừng hoang
分𠇮群𠅍庒嘆,Phần mình còn mất chẳng than
掣包仍浽逸除,Xiết bao nhưng nỗi dật dờ
云仙魂固灵𤍌,Vân Tiên hồn có linh thiêng
󰝡碎蹺貝拖𢬣蹎󰠃,Đem tôi theo với đỡ tay chân cùng
嘵耒淚𡮈𣳔匕,Hiêu rồi lụy nhỏ ròng ròng
哏󰲳𲉇𫃫卞迻𦋦塘,Cắn dây mở trói bèn đưa ra đường
小童式曳𢠩芒,Tiểu đồng thức dậy mơ màng
䀡戈𧡊坦𠓑𤉜買咍,Xem qua thấy đất rõ ràng mới hay
姅𢜠姅吏𢜝台,Nửa mừng nửa lại sợ thay
徒𦋦准𫇰尋柴云仙,Dò ra chốn cũ tìm thầy Vân Tiên
𩈘𡗶𣃣絡𣛠軒,Mặt trời vừa lạc mái hiên
𠊚奔几半𢄂畨闰闲,Người buôn kẻ bán chợ phiên nhộn nhàng
童浪妑舘𡧲塘,Đồng rằng: Bà quán giữa đường
舘浪傕㐌𠚢魔,Quán rằng: Thôi đã ra ma
欺埋廊𡌽踣它墫𠫾,Khi may làng xóm vội đà chôn đi
童浪別注芇𦋦,Đồng rằng biết chốn nào ra
舘浪𠫾塊鄕村𧡊𠳒,Quán rằng đi khỏi hương thôn thấy lời
𢬣捞渃𬑉𬂙澄,Tay lau nước mắt trông chừng
𠫾𦖑㗂呐頭棱劳嗃,Đi nghe tiếng nói đầu rừng lao xao
小童倍𡲤钱𠓨,Tiểu đồng vội vã tiến vào
麻民調哙𱍙芇細低,Mà dân đều hỏi: Thằng nào tới đâỷ
童浪碎細尋柴,Đồng rằng tôi tới tìm thầy
庒咍𠊚󰡎馬尼𱺵埃,Chẳng hay người dưới mả này là aỉ
民浪𧡊几昆𤳆,Dân rằng: Thấy kẻ con trai
扵兠庒別洛淶細低,"Ở đâu chẳng biết, lạc rời tới đây"
𢬣蹎𩈘𪖫卒咍,"Tay chân, mặt mũi tốt thay"
𤴬之𢧚浽渃尼呵傷,Đau chi nên nỗi nước này khá thương.
小童庒及哙㗍,Tiểu đồng chẳng kịp hỏi han
𦣰陵边馬哭嘆徘徊,Nằm lăn bên mả khóc than bồi hồi
眾民䀡𧡊傷喂,Chúng dân xem thấy thương ôi
呌饒博𲇣調𨆢𧗱茄,Kêu nhau vác cuốc đều lui về nhà
小童䀡𧡊㤕車,Tiểu đồng xem thấy xót xa
𩂏僚𡨺馬𢚸些論𱻊,Che lều giữ mả lòng ta chọn nghì
𠬠𠇮扵坦大提,Một mình ở đất Đại Đề
歇𢚸者𦬑襖𩚵,Hết lòng trả nợ áo cơm
𤯩卢报補托群𦹳名,Sống lo báo bổ thác còn thơm danh
次尼細𠬠云仙,Thứ này tới một Vân Tiên
𠄼更𡎢預幔船咀嘆,Năm canh ngồi dựa mạn thuyền thở than
巾𣓿汔淚渚滇,Khăn lau ngật lệ chứa chan
𢪀傷分伵莫𮥷欺空,Nghĩ thương phận tớ mắc nàn khi không
冷丁船𡨌渡東,Lênh đênh thuyền giữa đò Đông
店𣅘吝理如詞,Đêm khuya lặng lẽ như tờ
𨒖昂星木𤻻𢠩霜𬲊,"Nghênh ngang tinh mọc, mịt mờ sương bay"
郑歆欺𧘇𠚢𢬣,Trịnh Hâm khi ấy ra tay
云仙被婍堆𬆄𠖈潙,Vân Tiên bị gã đôi ngay xuống vời
郑歆𠬠㗂呌𡗶,Trịnh Hâm một tiếng kêu trời
朱𠊛式曳𥙩𢈱配波,Cho người thức dậy lấy lời phôi pha
冲船埃乃調𦋦,Trong thuyền ai nấy đều ra
調傷户六㤕車冲𢚸,"Đều thương họ Lục, xót xa trong lòng"
云仙𠇮𠖈𡧲𣳔,Vân Tiên mình xuống giữa dòng
蛟神𢴿𠓨冲滝𱢝拖,Giao thần chèo đỡ vào trong luống rày
皮埋𡗶㐌𤎜㝵,Vừa may trời đã sáng ngày
翁蕉䀡𧡊𢵼𬆄𨑗坡,Ông tiêu xem thấy vớt ngay lên bờ
翁爐䏾胣妑𪹣𩈘眉,"Ông lô bụng dạ, bà hơ mặt mày"
云仙披𤋾蹎𢬣,Vân Tiên vừa ấm chân tay
𠻨𠽐𩲉魄如醝買耒,Ngẩn ngơ hồn phách như say mới rồi
咍𱏧群唉邒𡎢陽間,Hay đâu còn hãy đặng ngồi dương gian
魚翁欺𧘇哙㗍,Ngư ông khi ấy hỏi han
云仙䜹訴每塘𧵆賖,Vân Tiên thưa tỏ mọi đường gần xa
魚翁𤽗扵󰠃些,Ngư ông: Ngươi ở cùng ta
󰉹㝵𤋾供𠬠茄朱盃,Sớm ngày ấm cúng một nhà cho vui
仙浪翁𥙩之餒,Tiên rằng: Ông lấy chi nuôi
埋麻㵢浽細低,May mà trôi nổi tới đây
𥙩之报答𠇮老猪匕,Lấy chi báo đáp mình làu trơ trơ
魚浪𢚸老庒𢠩,Ngư rằng: Lòng lão chẳng mơ
篤𫜵役沛芇除呂恩,"Dốc làm việc phải, nào chờ trả ơn"
老洳浡渃拱欣,Làu như bột nước cũng hơn
仍句名利庒潺𢚸低,Những câu danh lợi chẳng sờn lòng đây
𥮉𨱽卷興盃𡆫,Bồ dài cuộn hứng vui vầy
店箕興𩙌最尼制𦝄,"Đêm kia hứng gió, tối này chơi trăng"
㝵匕通且爫咹,Ngày ngày thong thả làm ăn
欺辰紂䋥欺𢬥鈎淫,"Khi thì chài lưới, khi giăng câu dầm"
僥嗷𫢩𣷷埋潭,Nghêu ngao nay bến mai đầm
𠬠瓢𡗶坦盃󰠐埃咍,Một bầu trời đất vui thầm ai hay
語迎冲渃盃醝冲𡗶,"Ngữ nghênh trong nước, vui say trong trời"
船难𠬠隻扵𠁀,Thuyền nan một chiếc ở đời
仙浪汝細寒江,Tiên rằng: Nhờ tới Hàn Giang
武公茄扵𧵆塘低庒,Võ công nhà ở gần đường đây chăng?
魚浪户武扵𧵆,Ngư rằng: Họ Võ ở gần
塊𠀧曲咏辰吝細尼,Khỏi ba khúc vịnh thời lần tới nơi
𡟱𫯳𱺵𱻊糟糠,Vợ chồng là nghĩa tào khang
之朋細妬尋方改𠇮,Chi bằng tới đó tìm phương gửi mình
林𢆥悶論恩情,Trăm năm muốn trọn ân tình
﨤欺患难牢仃補饒,Gặp khi hoạn nạn sao đành bỏ nhau
吀迻細妬畧𡢐朱𧷺,Xin đưa tới đó trước sau cho tròn.
魚浪𫜵分壻昆,Ngư rằng: Làm phận rể con
𠲖𢒎麻痗𦑃𪀄,E bay mà mỏi cánh chim
巴爲景𫇰坤尋核𠸗,Bơ vơ cảnh cũ khôn tìm cây xưa
𠲖欺踸𨀈細猪,E khi chậm bước tới trưa
渚信滝𫇰𣷷𠸗麻啉,Chớ tin sông cũ bến xưa mà lầm
𱥯埃扵特好心,Mấy ai ở được hảo tâm
𱥯埃咍𢪀役𠁀,Mấy ai hay nghĩ việc đời
涓尼危苦𢖵尼郎𢀭,Quen nơi nguy khó nhớ nơi sang giàu
老𧈧𣦆役奔鈎,Lão càng trải việc buông câu
𡄎冲役渃恪𱏧役茄,Ngẫm trong việc nước khác đâu việc nhà
云仙畧㐌約麻,Vân Tiên trước đã ước mà
魚翁𡢐沛㳻潙迻朗,Ngư ông sau phải thác vời đưa sang
𢩮仙𠓨准前堂,Dắt Tiên vào chốn tiền đường
武公䀡𧡊𢚸強虎𤽗,Võ Công xem thấy lòng càng hổ ngươi
庒戈𢜝世间唭,Chẳng qua sợ thế gian cười
𲉇𢈱亘強嘲𠊚㝵𠸗,Mở lời gắng gượng chào người ngày xưa
鱼翁㐌固功迻,Ngư ông đã có công đưa
鱼浪碎庒𥉩恩,Ngư rằng tôi chẳng trông ơn
朱𧷺仁𱻊辰欣泊鐄,Cho tròn nhân nghĩa thì hơn bạc vàng
𠸗群𱥯几莫𮥷,Xưa còn mấy kẻ mắc nan
